Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOG,MSFT,NFLX,AAPL,AMZN,GOOG,MSFT,NFLX,AAPL,AMZN,GOOG,MSFT,NFLX,AAPL,AMZN,GOOG,MSFT,NFLX,AAPL,AMZN,GOOG,MSFT,NFLX
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-01 14:30:00+00:00,278.14208984375,232.8800048828125,317.010009765625,486.79998779296875,107.91000366210938,278.7699890136719,235.7969970703125,319.6300048828125,488.7591857910156,108.43000030517578,276.1400146484375,232.60000610351562,314.4100036621094,484.6474914550781,106.30999755859375,278.1499938964844,233.21499633789062,317.2699890136719,487.9599914550781,106.5,5114373,7486323,5378317,3532361,3141668
2025-12-01 15:30:00+00:00,277.9200134277344,233.97000122070312,316.81500244140625,488.30499267578125,108.38009643554688,278.4801025390625,234.3614044189453,318.6300048828125,489.0174865722656,108.73999786376953,277.30499267578125,232.25,315.4700012207031,485.7001037597656,107.72000122070312,278.1000061035156,232.8699951171875,316.9800109863281,486.7900085449219,107.90499877929688,1731132,3030989,1936805,1278138,1918590
2025-12-01 16:30:00+00:00,279.7705078125,234.36500549316406,317.82501220703125,488.9100036621094,108.55999755859375,279.8900146484375,234.47000122070312,318.3299865722656,489.8598937988281,108.80500030517578,277.8900146484375,233.88999938964844,316.78009033203125,487.6600036621094,108.30999755859375,277.8999938964844,233.97000122070312,316.9049987792969,488.2900085449219,108.4000015258789,2091919,2172750,1200955,785583,1236410
2025-12-01 17:30:00+00:00,280.58819580078125,234.96009826660156,317.2817077636719,488.6650085449219,108.90660095214844,280.6400146484375,235.22999572753906,318.4779968261719,489.3900146484375,109.13999938964844,279.4599914550781,234.16000366210938,317.2250061035156,488.4949951171875,108.4749984741211,279.7749938964844,234.36000061035156,317.80999755859375,488.8900146484375,108.55999755859375,2222347,2276578,1157280,787685,1329305
2025-12-01 18:30:00+00:00,280.8900146484375,234.17999267578125,316.2300109863281,487.8599853515625,108.61000061035156,281.2200012207031,235.49000549316406,317.989990234375,489.05999755859375,108.93000030517578,280.45001220703125,234.0989990234375,315.9117126464844,487.7699890136719,108.52999877929688,280.590087890625,234.97999572753906,317.32000732421875,488.6700134277344,108.9000015258789,2919865,2549868,1335415,822496,984482
2025-12-01 19:30:00+00:00,281.9100036621094,234.4781951904297,316.71990966796875,487.80999755859375,109.05999755859375,281.94000244140625,234.55999755859375,316.8346862792969,487.94989013671875,109.18000030517578,280.7099914550781,233.52000427246094,315.510009765625,486.760009765625,108.44000244140625,280.8800048828125,234.16000366210938,316.239990234375,487.8399963378906,108.5999984741211,2916696,2132741,1291824,898825,1425883
2025-12-01 20:30:00+00:00,283.32000732421875,233.9499969482422,315.2300109863281,486.8299865722656,109.19000244140625,283.4100036621094,234.5500030517578,316.75,488.1300048828125,109.33000183105469,281.7300109863281,233.3300018310547,314.0400085449219,485.6700134277344,108.73580169677734,281.9200134277344,234.49000549316406,316.69000244140625,487.80999755859375,109.05500030517578,5357873,2877925,2541283,1956383,2409885
2025-12-02 14:30:00+00:00,284.57000732421875,234.72000122070312,316.5769958496094,490.5249938964844,108.16500091552734,285.3089904785156,235.77000427246094,318.6000061035156,491.510009765625,109.04000091552734,282.7300109863281,234.0500030517578,314.7070007324219,486.32000732421875,107.94999694824219,283.0,235.5,316.8999938964844,487.25,108.5,7878173,7353094,3727937,2714639,3856657
