Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOG,MSFT,NFLX,AAPL,AMZN,GOOG,MSFT,NFLX,AAPL,AMZN,GOOG,MSFT,NFLX,AAPL,AMZN,GOOG,MSFT,NFLX,AAPL,AMZN,GOOG,MSFT,NFLX
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-26 14:30:00+00:00,277.80999755859375,230.51499938964844,318.2799987792969,483.239990234375,106.08999633789062,279.0474853515625,230.80999755859375,324.9849853515625,487.9700012207031,106.80000305175781,276.6300048828125,228.77000427246094,317.20001220703125,481.2099914550781,105.22000122070312,276.9599914550781,230.74000549316406,320.7799987792969,486.04998779296875,105.76000213623047,5086107,5841042,7913875,4843496,5155578
2025-11-26 15:30:00+00:00,279.0101013183594,231.0841064453125,319.635009765625,486.7854919433594,106.30000305175781,279.1400146484375,231.30999755859375,320.45831298828125,487.0050048828125,106.66999816894531,276.80999755859375,230.1199951171875,317.510009765625,483.29998779296875,106.04000091552734,277.7900085449219,230.51499938964844,318.2900085449219,483.30999755859375,106.08999633789062,2510611,2659243,2653850,1859391,2328286
2025-11-26 16:30:00+00:00,279.0790100097656,230.8800048828125,319.0899963378906,486.7900085449219,106.61000061035156,279.5299987792969,231.74740600585938,320.20599365234375,488.3030090332031,106.94999694824219,278.8699951171875,230.66000366210938,318.489990234375,486.3299865722656,106.02999877929688,279.0299987792969,231.0998992919922,319.6600036621094,486.8399963378906,106.30000305175781,2586354,2039562,1991156,1474580,1699400
2025-11-26 17:30:00+00:00,278.54998779296875,230.7100067138672,319.6300048828125,486.83160400390625,106.45500183105469,279.2900085449219,230.99000549316406,319.7900085449219,487.82000732421875,106.6500015258789,278.0950012207031,229.44000244140625,318.2699890136719,485.6300048828125,106.01000213623047,279.07000732421875,230.88330078125,319.0899963378906,486.8299865722656,106.625,1871279,2174338,1462437,1283809,1311396
2025-11-26 18:30:00+00:00,278.260009765625,229.56500244140625,319.1499938964844,486.82000732421875,106.21009826660156,278.581787109375,230.7449951171875,319.6700134277344,487.18499755859375,106.5250015258789,277.92498779296875,229.28939819335938,318.82000732421875,485.8500061035156,106.05000305175781,278.55999755859375,230.72430419921875,319.6300048828125,486.8299865722656,106.46219635009766,1426945,2207386,1134959,1100010,1083115
2025-11-26 19:30:00+00:00,278.0799865722656,229.42999267578125,319.6520080566406,487.25,105.86499786376953,278.94000244140625,229.7899932861328,319.7850036621094,487.67999267578125,106.33999633789062,278.010009765625,229.0449981689453,318.70001220703125,485.5899963378906,105.81999969482422,278.2601013183594,229.57000732421875,319.1700134277344,486.9179992675781,106.22000122070312,1953254,2275778,1298734,1214849,1436535
2025-11-26 20:30:00+00:00,277.4700012207031,229.1199951171875,320.2799987792969,485.489990234375,106.12000274658203,278.29998779296875,229.80999755859375,320.79998779296875,487.6300048828125,106.22000122070312,277.1499938964844,229.05999755859375,319.5,485.0,105.8499984741211,278.07000732421875,229.4199981689453,319.6499938964844,487.239990234375,105.86100006103516,9116002,2284974,1926714,1838870,1782615
2025-11-28 14:30:00+00:00,276.260009765625,231.47999572753906,318.0799865722656,490.5799865722656,107.44000244140625,278.23919677734375,232.2100067138672,326.8800048828125,491.79998779296875,107.55000305175781,276.0199890136719,230.22999572753906,317.40008544921875,486.6499938964844,106.25,277.260009765625,231.21499633789062,323.25,487.5950012207031,106.5,4040463,4867303,6500875,3707413,3326926
